Cell line primary name,Site Primary,Cell line aliases,Gender,Histology,Source
MHH-CALL-3,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
MHH-CALL-4,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
MHH-ES-1,bone,,M,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,DSMZ
MHH-NB-11,autonomic_ganglia,,M,neuroblastoma,DSMZ
MIA PaCa-2,pancreas,,M,carcinoma,ATCC
Mino,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
MJ,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
MKN1,stomach,,M,carcinoma,HSRRB
MKN-45,stomach,,F,carcinoma,HSRRB
MKN7,stomach,,M,carcinoma,RIKEN
MKN74,stomach,,M,carcinoma,HSRRB
ML-1,thyroid,,F,carcinoma,DSMZ
MOLM-13,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
MOLM-16,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,DSMZ
MOLM-6,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
MOLP-2,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
MOLP-8,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
MOLT-13,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
MOLT-16,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
MOLT-4,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
MONO-MAC-1,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
MONO-MAC-6,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
MOTN-1,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
MPP 89,pleura,,M,mesothelioma,ICLC
MSTO-211H,pleura,,M,mesothelioma,ATCC
MUTZ-3,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
MUTZ-5,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
MV-4-11,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,ATCC
NALM-1,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,DSMZ
NALM-19,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
NALM-6,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
NAMALWA,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,ATCC
NB-1,autonomic_ganglia,,M,neuroblastoma,HSRRB
NB-4,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,DSMZ
NCI-H1048,lung,H1048,F,carcinoma,ATCC
NCI-H1092,lung,H1092,M,carcinoma,ATCC
NCI-H1105,lung,H1105,M,carcinoma,ATCC
NCI-H1155,lung,H1155,M,carcinoma,ATCC
NCI-H1184,lung,H1184 | H-1184,M,carcinoma,ATCC
NCI-H1299,lung,H1299,M,carcinoma,ATCC
NCI-H1339,lung,H-1339 | H1339,F,carcinoma,ATCC
NCI-H1341,lung,H1341,F,carcinoma,ATCC
NCI-H1355,lung,H1355,M,carcinoma,ATCC
NCI-H1373,lung,H1373,M,carcinoma,ATCC
NCI-H1385,lung,H1385,F,carcinoma,ATCC
NCI-H1395,lung,H1395,F,carcinoma,ATCC
NCI-H1435,lung,H1435,F,carcinoma,ATCC
NCI-H1436,lung,H1436,M,carcinoma,ATCC
NCI-H1437,lung,H1437,M,carcinoma,ATCC
NCI-H146,lung,H146,M,carcinoma,ATCC
NCI-H1563,lung,H1563,M,carcinoma,ATCC
NCI-H1568,lung,H1568,F,carcinoma,ATCC
NCI-H1573,lung,H1573,F,carcinoma,ATCC
NCI-H1581,lung,H1581,M,carcinoma,ATCC
NCI-H1618,lung,H1618,F,carcinoma,ATCC
NCI-H1623,lung,H1623,M,carcinoma,ATCC
NCI-H1648,lung,H1648,M,carcinoma,ATCC
NCI-H1650,lung,H1650,M,carcinoma,ATCC
NCI-H1651,lung,H1651,M,carcinoma,ATCC
NCI-H1666,lung,H1666,F,carcinoma,ATCC
NCI-H1693,lung,H1693,F,carcinoma,ATCC
NCI-H1694,lung,H1694,M,carcinoma,ATCC
NCI-H1703,lung,H1703,M,carcinoma,ATCC
NCI-H1734,lung,H1734,F,carcinoma,ATCC
NCI-H1755,lung,H1755,F,carcinoma,ATCC
NCI-H1781,lung,H1781,F,carcinoma,ATCC
NCI-H1792,lung,H1792,M,carcinoma,ATCC
NCI-H1793,lung,H1793,F,carcinoma,ATCC
NCI-H1836,lung,H1836,M,carcinoma,ATCC
NCI-H1838,lung,H1838,F,carcinoma,ATCC
NCI-H1869,lung,H1869,M,carcinoma,ATCC
NCI-H1876,lung,H1876,M,carcinoma,ATCC
NCI-H1915,lung,H1915,F,carcinoma,ATCC
NCI-H1930,lung,H1930,M,carcinoma,ATCC
NCI-H1944,lung,H1944,F,carcinoma,ATCC
NCI-H196,lung,H196,M,carcinoma,ATCC
NCI-H1963,lung,H-1963 | H1963,M,carcinoma,ATCC
NCI-H1975,lung,H1975,F,carcinoma,ATCC
NCI-H2009,lung,H2009,F,carcinoma,ATCC
NCI-H2023,lung,H2023,M,carcinoma,ATCC
NCI-H2029,lung,H2029,F,carcinoma,ATCC
NCI-H2030,lung,H2030,M,carcinoma,ATCC
NCI-H2052,pleura,H2052,M,mesothelioma,ATCC
NCI-H2066,lung,H2066,F,carcinoma,ATCC
NCI-H2073,lung,H2073,F,carcinoma,ATCC
NCI-H2081,lung,H2081,F,carcinoma,ATCC
NCI-H2085,lung,H2085,M,carcinoma,ATCC
NCI-H2087,lung,H2087,M,carcinoma,ATCC
NCI-H209,lung,H-209 | H209,M,carcinoma,ATCC
NCI-H2106,lung,H2106,M,carcinoma,ATCC
NCI-H211,lung,H211,F,carcinoma,ATCC
NCI-H2122,lung,H2122,F,carcinoma,ATCC
NCI-H2126,lung,H2126,M,carcinoma,ATCC
NCI-H2141,lung,H2141,M,carcinoma,ATCC
NCI-H2170,lung,H2170,M,carcinoma,ATCC
NCI-H2171,lung,H2171 | H-2171,M,carcinoma,ATCC
NCI-H2172,lung,H2172,F,carcinoma,ATCC
NCI-H2196,lung,H2196,M,carcinoma,ATCC
NCI-H2227,lung,H2227,M,carcinoma,ATCC
NCI-H2228,lung,H2228,F,carcinoma,ATCC
NCI-H226,lung,H226,M,carcinoma,ATCC
NCI-H2286,lung,H2286,F,carcinoma,ATCC
NCI-H2291,lung,H2291,M,carcinoma,ATCC
NCI-H23,lung,H23,M,carcinoma,ATCC
NCI-H2342,lung,H2342,M,carcinoma,ATCC
NCI-H2347,lung,H2347,F,carcinoma,ATCC
NCI-H2405,lung,H2405,M,carcinoma,ATCC
NCI-H2444,lung,H2444,M,carcinoma,ATCC
NCI-H2452,pleura,H2452,M,mesothelioma,ATCC
NCI-H28,pleura,H28,M,mesothelioma,ATCC
NCI-H292,lung,H292 | H292,F,carcinoma,ATCC
NCI-H322,lung,H322 | NCI-H322M,M,carcinoma,ECACC
NCI-H3255,lung,H3255,F,carcinoma,Academic Lab
NCI-H358,lung,H358,M,carcinoma,ATCC
NCI-H441,lung,H441,M,carcinoma,ATCC
NCI-H446,lung,H446,M,carcinoma,ATCC
NCI-H460,lung,H460,M,carcinoma,ATCC
NCI-H508,large_intestine,H508,M,carcinoma,ATCC
NCI-H510,lung,H510A | H510 | NCI-H510A,M,carcinoma,ATCC
NCI-H520,lung,H520,M,carcinoma,ATCC
NCI-H522,lung,H522,M,carcinoma,ATCC
NCI-H524,lung,H524,M,carcinoma,ATCC
NCI-H526,lung,H526,M,carcinoma,ATCC
NCI-H596,lung,H596,M,carcinoma,ATCC
NCI-H647,lung,H647,M,carcinoma,ATCC
NCI-H650,lung,H650,M,carcinoma,ATCC
NCI-H660,prostate,H660,M,carcinoma,ATCC
NCI-H661,lung,H661,M,carcinoma,ATCC
NCI-H69,lung,H69,M,carcinoma,ATCC
NCI-H727,lung,H727,F,carcinoid-endocrine_tumour,ATCC
NCI-H747,large_intestine,H747,M,carcinoma,ATCC
NCI-H810,lung,H810,M,carcinoma,ATCC
NCI-H82,lung,H82,M,carcinoma,ATCC
NCI-H838,lung,H838,M,carcinoma,ATCC
NCI-H841,lung,H841,M,carcinoma,ATCC
NCI-H889,lung,H889,F,carcinoma,ATCC
NCI-H929,haematopoietic_and_lymphoid_tissue,H929,F,lymphoid_neoplasm,ATCC
NCI-N87,stomach,N87,M,carcinoma,ATCC
NCO2,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,HSRRB
NIH:OVCAR-3,ovary,NCI:OVCAR-3 | OVCAR-3,F,carcinoma,ATCC
NOMO-1,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,HSRRB
NU-DHL-1,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
NU-DUL-1,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
NUGC-2,stomach,,F,carcinoma,HSRRB
NUGC-3,stomach,,M,carcinoma,HSRRB
OAW28,ovary,,F,carcinoma,ECACC
OAW42,ovary,,F,carcinoma,ECACC
OC 314,ovary,,F,carcinoma,ICLC
OC 315,ovary,,F,carcinoma,ICLC
OC 316,ovary,,F,carcinoma,ICLC
OCI-AML2,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
OCI-AML3,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
OCI-AML5,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
OCI-LY-19,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
OCUM-1,stomach,,F,carcinoma,HSRRB
OE19,oesophagus,,M,carcinoma,ECACC
OE21,oesophagus,,M,carcinoma,ECACC
OE33,oesophagus,,F,other,ECACC
ONCO-DG-1,ovary,,F,carcinoma,DSMZ
ONS-76,central_nervous_system,,F,primitive_neuroectodermal_tumour-medulloblastoma,HSRRB
OPM-2,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
OUMS-27,bone,,M,chondrosarcoma,HSRRB
OV56,ovary,,F,carcinoma,ECACC
OV7,ovary,,F,carcinoma,ECACC
OV-90,ovary,,F,carcinoma,ATCC
OVCAR-4,ovary,,F,carcinoma,NCI/DCTD
OVCAR-8,ovary,,F,carcinoma,NCI/DCTD
OVISE,ovary,,F,carcinoma,HSRRB
OVKATE,ovary,,F,carcinoma,HSRRB
OVMANA,ovary,,F,carcinoma,HSRRB
OVSAHO,ovary,,F,carcinoma,HSRRB
OVTOKO,ovary,,F,carcinoma,HSRRB
P12-ICHIKAWA,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
P31/FUJ,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,HSRRB
P3HR-1,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
Panc 02.03,pancreas,,F,carcinoma,ATCC
Panc 02.13,pancreas,,F,carcinoma,ATCC
Panc 03.27,pancreas,,F,carcinoma,ATCC
Panc 04.03,pancreas,,M,carcinoma,ATCC
Panc 05.04,pancreas,,F,carcinoma,ATCC
Panc 08.13,pancreas,,M,carcinoma,ATCC
Panc 10.05,pancreas,,M,carcinoma,ATCC
PA-TU-8902,pancreas,,F,carcinoma,DSMZ
PA-TU-8988S,pancreas,,F,carcinoma,DSMZ
PA-TU-8988T,pancreas,,F,carcinoma,DSMZ
PC-3,prostate,,M,carcinoma,ATCC
PCM6,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,RIKEN
PE/CA-PJ15,upper_aerodigestive_tract,,M,carcinoma,ECACC
PE/CA-PJ34 (clone C12),upper_aerodigestive_tract,,M,carcinoma,ECACC
PE/CA-PJ41 (clone D2),upper_aerodigestive_tract,,F,carcinoma,ECACC
PE/CA-PJ49,upper_aerodigestive_tract,,M,carcinoma,ECACC
PEER,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,HSRRB
PF-382,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
Pfeiffer,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
PL-21,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
PL45,pancreas,,M,carcinoma,ATCC
PLC/PRF/5,liver,,M,carcinoma,ATCC
Raji,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
RCH-ACV,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
RD,soft_tissue,,F,rhabdomyosarcoma,ATCC
RD-ES,bone,,M,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,ATCC
REC-1,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
RERF-GC-1B,stomach,,M,carcinoma,HSRRB
RERF-LC-Ad1,lung,,M,carcinoma,HSRRB
RERF-LC-Ad2,lung,,M,carcinoma,HSRRB
RERF-LC-AI,lung,,M,carcinoma,RIKEN
RERF-LC-KJ,lung,,M,carcinoma,HSRRB
RERF-LC-Sq1,lung,,F,carcinoma,HSRRB
RH-30,soft_tissue,,M,rhabdomyosarcoma,DSMZ
RH-41,soft_tissue,,F,rhabdomyosarcoma,DSMZ
RI-1,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
RKN,soft_tissue,,F,leiomyosarcoma,HSRRB
RL,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
RL95-2,endometrium,,F,carcinoma,ATCC
RMG-I,ovary,RMG-1,F,carcinoma,HSRRB
RMUG-S,ovary,,F,carcinoma,HSRRB
RPMI-7951,skin,,F,malignant_melanoma,ATCC
RPMI 8226,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
RPMI-8402,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
RS4;11,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,ATCC
RS-5,pleura,,M,mesothelioma,DSMZ
RT-112,urinary_tract,,F,carcinoma,DSMZ
RT112/84,urinary_tract,,F,carcinoma,ECACC
RT4,urinary_tract,,M,carcinoma,ATCC
RVH-421,skin,,M,malignant_melanoma,DSMZ
S-117,soft_tissue,,F,sarcoma,DSMZ
Saos-2,bone,,F,osteosarcoma,ATCC
SCaBER,urinary_tract,,M,carcinoma,ATCC
SCC-15,upper_aerodigestive_tract,,M,carcinoma,ATCC
SCC-25,upper_aerodigestive_tract,,M,carcinoma,ATCC
SCC-4,upper_aerodigestive_tract,,M,carcinoma,ATCC
SCC-9,upper_aerodigestive_tract,,M,carcinoma,ATCC
SCLC-21H,lung,,M,carcinoma,DSMZ
SEM,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
Set-2,haematopoietic_and_lymphoid_tissue,,F,haematopoietic_neoplasm,DSMZ
SH-4,skin,,F,malignant_melanoma,ATCC
SHP-77,lung,,M,carcinoma,ATCC
SH-SY5Y,autonomic_ganglia,,F,neuroblastoma,ATCC
SIG-M5,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
SIMA,autonomic_ganglia,,M,neuroblastoma,DSMZ
SJRH30,soft_tissue,,M,rhabdomyosarcoma,ATCC
SJSA-1,bone,,M,osteosarcoma,ATCC
SK-BR-3,breast,,F,carcinoma,ATCC
SK-CO-1,large_intestine,,M,carcinoma,ATCC
SK-ES-1,bone,,M,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,ATCC
SK-HEP-1,liver,,M,carcinoma,ATCC
SK-LMS-1,soft_tissue,,F,sarcoma,ATCC
SK-LU-1,lung,,F,carcinoma,ATCC
SKM-1,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,HSRRB
SK-MEL-1,skin,,M,malignant_melanoma,ATCC
SK-MEL-2,skin,,M,malignant_melanoma,ATCC
SK-MEL-24,skin,,M,malignant_melanoma,ATCC
SK-MEL-28,skin,,M,malignant_melanoma,ATCC
SK-MEL-3,skin,,F,malignant_melanoma,ATCC
SK-MEL-30,skin,,M,malignant_melanoma,DSMZ
SK-MEL-31,skin,,F,malignant_melanoma,ATCC
SK-MEL-5,skin,,F,malignant_melanoma,ATCC
SK-MES-1,lung,,M,carcinoma,ATCC
SK-MM-2,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
SK-N-AS,autonomic_ganglia,,F,neuroblastoma,ATCC
SK-N-BE(2),autonomic_ganglia,,M,neuroblastoma,ATCC
SK-N-DZ,autonomic_ganglia,,F,neuroblastoma,ATCC
SK-N-FI,autonomic_ganglia,SK-N-F1,M,neuroblastoma,ATCC
SK-N-MC,bone,,F,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,ATCC
SK-N-SH,autonomic_ganglia,,F,neuroblastoma,ATCC
SK-OV-3,ovary,,F,carcinoma,ATCC
SK-UT-1,soft_tissue,,F,leiomyosarcoma,ATCC
SNB-19,central_nervous_system,,M,glioma,DSMZ
SNG-M,endometrium,,F,carcinoma,HSRRB
SNU-1,stomach,NCI-SNU-1,M,carcinoma,ATCC
SNU-1033,large_intestine,NCI-SNU-1033,F,carcinoma,KCLB
SNU-1040,large_intestine,NCI-SNU-1040,M,carcinoma,KCLB
SNU-1066,upper_aerodigestive_tract,NCI-SNU-1066,M,carcinoma,KCLB
SNU-1076,upper_aerodigestive_tract,NCI-SNU-1076,M,carcinoma,KCLB
SNU-1077,endometrium,NCI-SNU-1077,F,carcinoma,KCLB
SNU-1105,central_nervous_system,NCI-SNU-1105,M,glioma,KCLB
SNU-119,ovary,NCI-SNU-119,F,carcinoma,KCLB
SNU-1197,large_intestine,NCI-SNU-1197,M,carcinoma,KCLB
SNU-1214,upper_aerodigestive_tract,NCI-SNU-1214,M,carcinoma,KCLB
SNU-1272,kidney,NCI-SNU-1272,F,carcinoma,KCLB
SNU-16,stomach,NCI-SNU-16,F,carcinoma,ATCC
SNU-175,large_intestine,NCI-SNU-175,F,carcinoma,KCLB
SNU-182,liver,NCI-SNU-182,M,carcinoma,ATCC
SNU-201,central_nervous_system,NCI-SNU-201,M,glioma,KCLB
SNU-213,pancreas,NCI-SNU-213,M,carcinoma,KCLB
SNU-216,stomach,NCI-SNU-216,F,carcinoma,KCLB
SNU-283,large_intestine,NCI-SNU-283,F,carcinoma,KCLB
SNU-324,pancreas,NCI-SNU-324,M,carcinoma,KCLB
SNU-349,kidney,NCI-SNU-349,M,carcinoma,KCLB
SNU-387,liver,NCI-SNU-387,F,carcinoma,ATCC
SNU-398,liver,NCI-SNU-398,M,carcinoma,ATCC
SNU-407,large_intestine,NCI-SNU-407,M,carcinoma,KCLB
SNU-410,pancreas,NCI-SNU-410,M,carcinoma,KCLB
SNU-423,liver,NCI-SNU-423,M,carcinoma,ATCC
SNU-449,liver,NCI-SNU-449,M,carcinoma,ATCC
SNU-46,upper_aerodigestive_tract,NCI-SNU-46,M,carcinoma,KCLB
SNU-466,central_nervous_system,NCI-SNU-466,M,glioma,KCLB
SNU-475,liver,NCI-SNU-475,M,carcinoma,ATCC
SNU-489,central_nervous_system,NCI-SNU-489,M,glioma,KCLB
SNU-5,stomach,NCI-SNU-5,F,carcinoma,ATCC
SNU-503,large_intestine,NCI-SNU-503,M,carcinoma,KCLB
SNU-520,stomach,NCI-SNU-520,F,carcinoma,KCLB
SNU-601,stomach,NCI-SNU-601,M,carcinoma,KCLB
SNU-61,large_intestine,NCI-SNU-61,M,carcinoma,KCLB
SNU-620,stomach,NCI-SNU-620,F,carcinoma,KCLB
SNU-626,central_nervous_system,NCI-SNU-626,M,glioma,KCLB
SNU-668,stomach,NCI-SNU-668,M,carcinoma,KCLB
SNU-685,endometrium,NCI-SNU-685,F,carcinoma,KCLB
SNU-719,stomach,NCI-SNU-719,M,carcinoma,KCLB
SNU-738,central_nervous_system,NCI-SNU-738,M,glioma,KCLB
SNU-761,liver,NCI-SNU-761,M,carcinoma,KCLB
SNU-8,ovary,NCI-SNU-8,F,carcinoma,KCLB
SNU-81,large_intestine,NCI-SNU-81,M,carcinoma,KCLB
SNU-840,ovary,NCI-SNU-840,F,carcinoma,KCLB
SNU-878,liver,NCI-SNU-878,F,carcinoma,KCLB
SNU-886,liver,NCI-SNU-886,M,carcinoma,KCLB
SNU-899,upper_aerodigestive_tract,NCI-SNU-899,M,carcinoma,KCLB
SNU-C1,large_intestine,,M,carcinoma,ATCC
SNU-C2A,large_intestine,,F,carcinoma,ATCC
SNU-C4,large_intestine,,M,carcinoma,KCLB
SNU-C5,large_intestine,,F,carcinoma,KCLB
SR-786,haematopoietic_and_lymphoid_tissue,SR,M,lymphoid_neoplasm,DSMZ
ST486,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,ATCC
SU.86.86,pancreas,,F,carcinoma,ATCC
SU-DHL-1,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
SU-DHL-10,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
SU-DHL-4,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
SU-DHL-5,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
SU-DHL-6,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
SU-DHL-8,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
SUIT-2,pancreas,,M,carcinoma,HSRRB
SUP-B15,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
SUP-HD1,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
SUP-M2,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,DSMZ
SUP-T1,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
SUP-T11,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
SW 1088,central_nervous_system,,M,glioma,ATCC
SW1116,large_intestine,,M,carcinoma,ATCC
SW 1271,lung,,M,carcinoma,ATCC
SW 1353,bone,,F,chondrosarcoma,ATCC
SW1417,large_intestine,,F,carcinoma,ATCC
SW1463,large_intestine,,F,carcinoma,ATCC
SW 1573,lung,,F,carcinoma,ATCC
SW-1710,urinary_tract,,F,carcinoma,DSMZ
SW 1783,central_nervous_system,,M,glioma,ATCC
SW 1990,pancreas,,M,carcinoma,ATCC
SW403,large_intestine,,F,carcinoma,ATCC
SW48,large_intestine,,F,carcinoma,ATCC
SW480,large_intestine,,M,carcinoma,ATCC
SW579,thyroid,,M,carcinoma,ATCC
SW620,large_intestine,,M,carcinoma,ATCC
SW 780,urinary_tract,,F,carcinoma,ATCC
SW837,large_intestine,,M,carcinoma,ATCC
SW 900,lung,,M,carcinoma,ATCC
SW948,large_intestine,,F,carcinoma,ATCC
T24,urinary_tract,,F,carcinoma,ATCC
T3M-10,lung,,M,carcinoma,RIKEN
T3M-4,pancreas,,M,carcinoma,RIKEN
T-47D,breast,,F,carcinoma,ATCC
T84,large_intestine,,M,carcinoma,ATCC
T98G,central_nervous_system,,M,glioma,ATCC
TALL-1,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
TC-71,bone,,M,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,DSMZ
TCC-PAN2,pancreas,,F,carcinoma,HSRRB
TCCSUP,urinary_tract,,F,carcinoma,ATCC
TE-1,oesophagus,,M,carcinoma,RIKEN
TE 125.T,soft_tissue,,F,rhabdomyosarcoma,ATCC
TE-15,oesophagus,,F,carcinoma,RIKEN
TE 159.T,soft_tissue,,M,rhabdomyosarcoma,ATCC
TE 441.T,soft_tissue,,F,rhabdomyosarcoma,ATCC
TE 617.T,soft_tissue,,F,rhabdomyosarcoma,ATCC
TE-9,oesophagus,,M,carcinoma,RIKEN
TEN,endometrium,,F,carcinoma,RIKEN
TF-1,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,ATCC
THP-1,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,ATCC
TO 175.T,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
Toledo,haematopoietic_and_lymphoid_tissue,,F,lymphoid_neoplasm,ATCC
TOV-112D,ovary,,F,carcinoma,ATCC
TOV-21G,ovary,,F,carcinoma,ATCC
T.T,oesophagus,,M,carcinoma,HSRRB
TT,thyroid,,F,carcinoma,ATCC
TT2609-C02,thyroid,,M,carcinoma,DSMZ
TYK-nu,ovary,,F,carcinoma,HSRRB
U-118 MG,central_nervous_system,U118,M,glioma,ATCC
U-138 MG,central_nervous_system,,M,glioma,ATCC
U-251 MG,central_nervous_system,U251,M,glioma,HSRRB
U266B1,haematopoietic_and_lymphoid_tissue,U-266,M,lymphoid_neoplasm,ATCC
U-2 OS,bone,,F,osteosarcoma,ATCC
U-87 MG,central_nervous_system,,F,glioma,ATCC
U-937,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,ATCC
UACC-812,breast,,F,carcinoma,ATCC
UACC-893,breast,,F,carcinoma,ATCC
U-BLC1,urinary_tract,,F,carcinoma,ECACC
UM-UC-1,urinary_tract,,M,carcinoma,ECACC
UM-UC-3,urinary_tract,,M,carcinoma,ATCC
UT-7,haematopoietic_and_lymphoid_tissue,,M,haematopoietic_neoplasm,DSMZ
VCaP,prostate,,M,carcinoma,ATCC
VM-CUB1,urinary_tract,,M,carcinoma,DSMZ
VMRC-LCD,lung,,M,carcinoma,HSRRB
VMRC-RCW,kidney,,M,carcinoma,RIKEN
WM-115,skin,,F,malignant_melanoma,ATCC
WM-266-4,skin,,F,malignant_melanoma,ATCC
WSU-DLCL2,haematopoietic_and_lymphoid_tissue,,M,lymphoid_neoplasm,DSMZ
YAPC,pancreas,,M,carcinoma,DSMZ
YD-10B,upper_aerodigestive_tract,,M,carcinoma,KCLB
YD-15,salivary_gland,,M,carcinoma,KCLB
YD-38,upper_aerodigestive_tract,,M,carcinoma,KCLB
YD-8,upper_aerodigestive_tract,,F,carcinoma,KCLB
YH-13,central_nervous_system,,M,glioma,HSRRB
YKG1,central_nervous_system,,F,glioma,HSRRB
YMB-1,breast,,F,carcinoma,HSRRB
ZR-75-1,breast,,F,carcinoma,ATCC
ZR-75-30,breast,,F,carcinoma,
,,,,,

